,topic,username,repo_name,repo_desc,stars,repo_url,tags
18,Amp,amphp,serialization,Serialization tools for IPC and data storage in PHP.,102,https://github.com/amphp/serialization,"['php', 'serialization', 'amphp']"
19,Amp,amphp,cache,A fiber-aware cache API based on Amp and Revolt.,92,https://github.com/amphp/cache,"['php', 'cache', 'amphp', 'amphp-cache']"
0,Android,flutter,flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,158934,https://github.com/flutter/flutter,"['android', 'windows', 'macos', 'dart', 'ios', 'mobile', 'web', 'material-design', 'cross-platform', 'desktop', 'web-framework', 'app-framework', 'flutter', 'skia', 'linux-desktop', 'fuchsia', 'mobile-development', 'dart-platform', 'flutter-package']"
1,Android,facebook,react-native,A framework for building native applications using React,113544,https://github.com/facebook/react-native,"['react', 'android', 'ios', 'mobile', 'react-native', 'cross-platform', 'app-framework', 'mobile-development']"
2,Android,justjavac,free-programming-books-zh_CN,📚 免费的计算机编程类中文书籍，欢迎投稿,106772,https://github.com/justjavac/free-programming-books-zh_CN,"['react', 'javascript', 'android', 'kotlin', 'python', 'swift', 'pdf', 'ios', 'angular', 'react-native', 'programming', 'books', 'vue', 'free']"
3,Android,Genymobile,scrcpy,Display and control your Android device,96172,https://github.com/Genymobile/scrcpy,"['android', 'c', 'ffmpeg', 'sdl2', 'screen', 'libav', 'recording', 'mirroring']"
4,Android,Hack-with-Github,Awesome-Hacking,"A collection of various awesome lists for hackers, pentesters and security researchers",72852,https://github.com/Hack-with-Github/Awesome-Hacking,"['android', 'security', 'awesome', 'reverse-engineering', 'pentesting-windows', 'hacking', 'penetration-testing', 'bug-bounty', 'fuzzing']"
5,Android,Solido,awesome-flutter,"An awesome list that curates the best Flutter libraries, tools, tutorials, articles and more.",49658,https://github.com/Solido/awesome-flutter,"['android', 'ios', 'awesome', 'mobile', 'material-design', 'cross-platform', 'resources', 'mobile-app', 'reactive-programming', 'collections', 'awesome-list', 'flutter', 'mobile-development', 'dartlang', 'flutter-plugin', 'flutter-apps', 'flutter-plugins', 'flutter-examples']"
6,Android,google,material-design-icons,Material Design icons by Google,49154,https://github.com/google/material-design-icons,"['android', 'ios', 'web', 'material', 'material-design', 'sprites', 'icons']"
7,Android,wasabeef,awesome-android-ui,A curated list of awesome Android UI/UX libraries,48139,https://github.com/wasabeef/awesome-android-ui,"['android', 'awesome', 'ui']"
8,Android,square,okhttp,"Square’s meticulous HTTP client for the JVM, Android, and GraalVM.",44851,https://github.com/square/okhttp,"['android', 'kotlin', 'java', 'graalvm']"
9,Android,android,architecture-samples,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,43426,https://github.com/android/architecture-samples,"['android', 'samples', 'android-architecture']"
10,Android,square,retrofit,A type-safe HTTP client for Android and the JVM,42301,https://github.com/square/retrofit,"['android', 'java']"
11,Android,laurent22,joplin,"Joplin - the secure note taking and to-do app with synchronisation capabilities for Windows, macOS, Linux, Android and iOS.",40096,https://github.com/laurent22/joplin,"['electron', 'nodejs', 'javascript', 'android', 'react-native', 'dropbox', 'synchronisation', 'nextcloud', 'onedrive', 'webdav', 'note-taking', 'evernote', 'web-clipper', 'enex-files', 'joplin']"
12,Android,dcloudio,uni-app,A cross-platform framework using Vue.js,38967,https://github.com/dcloudio/uni-app,"['javascript', 'android', 'ios', 'vue', 'cross-platform', 'uni', 'crossplatform', 'uniapp', 'miniprogram', 'mpvue', 'vue3', 'uni-app', 'hbuilderx']"
